server_timestamp,arduino_timestamp,X,Y,Z
2025-11-02 20:35:13.014,1121982,0.906,-0.406,0.031
2025-11-02 20:35:13.248,1122221,0.719,-0.125,0.000
2025-11-02 20:35:13.492,1122451,0.656,-0.750,-0.156
2025-11-02 20:35:13.720,1122694,0.156,-0.844,-0.750
2025-11-02 20:35:13.950,1122922,-0.187,-0.812,-0.719
2025-11-02 20:35:14.203,1123161,-0.031,-0.625,-0.719
2025-11-02 20:35:14.430,1123402,0.000,-0.656,-0.625
2025-11-02 20:35:14.655,1123630,0.406,-0.719,-0.687
2025-11-02 20:35:14.882,1123857,-0.125,-0.687,-0.656
2025-11-02 20:35:15.129,1124095,0.437,-0.781,-0.656
2025-11-02 20:35:15.362,1124335,-0.125,-0.687,-0.656
2025-11-02 20:35:15.591,1124565,-0.156,-0.531,-0.562
2025-11-02 20:35:15.818,1124793,-0.469,-0.687,-0.469
2025-11-02 20:35:16.069,1125031,-0.812,-0.625,-0.344
2025-11-02 20:35:16.310,1125276,-0.844,-0.625,-0.219
2025-11-02 20:35:16.544,1125514,-0.812,-0.437,-0.219
2025-11-02 20:35:16.782,1125752,-0.781,-0.406,-0.187
2025-11-02 20:35:17.009,1125981,-0.812,-0.469,-0.187
2025-11-02 20:35:17.240,1126212,-0.812,-0.469,-0.187
2025-11-02 20:35:17.479,1126442,-0.812,-0.406,-0.187
2025-11-02 20:35:17.722,1126691,-0.812,-0.437,-0.187
2025-11-02 20:35:17.958,1126923,-0.812,-0.437,-0.187
2025-11-02 20:35:18.186,1127157,-0.812,-0.469,-0.187
2025-11-02 20:35:18.414,1127387,-0.844,-0.406,-0.250
2025-11-02 20:35:18.647,1127614,-0.844,-0.344,-0.281
2025-11-02 20:35:18.880,1127848,-0.750,-0.375,-0.250
2025-11-02 20:35:19.113,1128079,-0.750,-0.281,-0.094
2025-11-02 20:35:19.353,1128318,-0.875,-0.250,0.031
2025-11-02 20:35:19.587,1128560,-0.906,-0.156,-0.094
2025-11-02 20:35:19.821,1128788,-1.062,-0.031,-0.125
2025-11-02 20:35:20.124,1129023,-1.094,-0.062,-0.125
2025-11-02 20:35:20.358,1129331,-1.062,-0.219,-0.156
2025-11-02 20:35:20.595,1129560,-1.094,-0.094,-0.156
2025-11-02 20:35:20.822,1129796,-1.000,-0.156,-0.031
2025-11-02 20:35:21.057,1130025,-0.906,-0.094,-0.094
2025-11-02 20:35:21.287,1130260,-0.750,-0.250,0.000
2025-11-02 20:35:21.526,1130489,-0.750,-0.406,0.156
2025-11-02 20:35:21.761,1130732,-0.781,-0.531,0.125
2025-11-02 20:35:21.989,1130963,-0.750,-0.656,0.156
2025-11-02 20:35:22.217,1131191,-0.562,-0.781,0.250
2025-11-02 20:35:22.476,1131420,-0.125,-0.812,0.406
2025-11-02 20:35:22.716,1131684,0.156,-0.812,0.406
2025-11-02 20:35:22.954,1131919,0.281,-0.781,0.406
2025-11-02 20:35:23.190,1132160,0.281,-0.781,0.469
2025-11-02 20:35:23.429,1132391,0.187,-0.656,0.281
2025-11-02 20:35:23.666,1132637,-0.250,-0.937,0.406
2025-11-02 20:35:23.902,1132868,-0.500,-0.844,0.187
2025-11-02 20:35:24.160,1133117,-0.656,-0.750,0.187
2025-11-02 20:35:24.383,1133359,-0.750,-0.562,0.094
2025-11-02 20:35:24.621,1133587,-0.781,-0.531,0.031
2025-11-02 20:35:24.853,1133826,-0.844,-0.594,0.094
2025-11-02 20:35:25.081,1134055,-0.687,-0.750,0.187
2025-11-02 20:35:25.310,1134284,-0.344,-0.812,0.312
2025-11-02 20:35:25.541,1134513,0.000,-0.906,0.375
2025-11-02 20:35:25.771,1134741,0.219,-0.781,0.375
2025-11-02 20:35:26.008,1134978,0.250,-0.781,0.250
2025-11-02 20:35:26.248,1135209,0.125,-0.781,0.187
2025-11-02 20:35:26.482,1135452,-0.187,-0.812,0.187
2025-11-02 20:35:26.718,1135691,-0.406,-0.844,0.156
2025-11-02 20:35:26.961,1135920,-0.594,-0.719,0.062
2025-11-02 20:35:27.194,1136167,-0.750,-0.594,-0.031
2025-11-02 20:35:27.431,1136395,-0.812,-0.500,-0.031
2025-11-02 20:35:27.660,1136634,-0.844,-0.500,-0.031
2025-11-02 20:35:27.891,1136863,-0.750,-0.656,0.094
2025-11-02 20:35:28.125,1137092,-0.375,-1.062,0.187
2025-11-02 20:35:28.353,1137325,0.031,-0.781,0.156
2025-11-02 20:35:28.587,1137554,0.219,-0.781,0.219
2025-11-02 20:35:28.822,1137794,0.219,-0.781,0.156
2025-11-02 20:35:29.054,1138024,0.000,-0.906,0.219
2025-11-02 20:35:29.284,1138254,-0.219,-0.812,0.125
2025-11-02 20:35:29.514,1138487,-0.531,-0.781,0.156
2025-11-02 20:35:29.743,1138716,-0.625,-0.687,0.375
2025-11-02 20:35:29.971,1138945,-0.750,-0.562,0.156
2025-11-02 20:35:30.199,1139174,-0.750,-0.531,0.156
2025-11-02 20:35:30.430,1139402,-0.812,-0.500,0.125
2025-11-02 20:35:30.662,1139632,-0.844,-0.531,0.250
2025-11-02 20:35:30.902,1139875,-0.656,-0.594,0.562
2025-11-02 20:35:31.137,1140102,-0.219,-0.594,0.906
2025-11-02 20:35:31.368,1140342,0.125,-0.531,0.687
2025-11-02 20:35:31.596,1140570,0.187,-0.469,0.625
2025-11-02 20:35:31.832,1140798,0.125,-0.406,0.500
2025-11-02 20:35:32.063,1141033,-0.156,-0.562,0.719
2025-11-02 20:35:32.291,1141266,-0.437,-0.625,0.719
2025-11-02 20:35:32.520,1141494,-0.719,-0.531,0.375
2025-11-02 20:35:32.748,1141723,-0.812,-0.500,0.156
2025-11-02 20:35:32.990,1141952,-0.875,-0.375,0.062
2025-11-02 20:35:33.215,1142190,-0.875,-0.437,0.125
2025-11-02 20:35:33.448,1142417,-0.937,-0.469,0.062
2025-11-02 20:35:33.677,1142647,-0.656,-0.594,0.344
2025-11-02 20:35:33.925,1142885,-0.281,-0.719,0.437
2025-11-02 20:35:34.157,1143127,0.062,-0.562,0.562
2025-11-02 20:35:34.384,1143358,0.125,-0.625,0.469
2025-11-02 20:35:34.617,1143586,0.031,-0.656,0.531
2025-11-02 20:35:34.846,1143819,-0.219,-0.750,0.500
2025-11-02 20:35:35.082,1144057,-0.562,-0.812,0.344
2025-11-02 20:35:35.312,1144285,-0.719,-0.562,0.156
2025-11-02 20:35:35.550,1144513,-0.844,-0.500,0.094
2025-11-02 20:35:35.778,1144751,-0.844,-0.406,0.000
2025-11-02 20:35:36.014,1144981,-0.875,-0.375,-0.031
2025-11-02 20:35:36.248,1145216,-0.937,-0.406,0.000
2025-11-02 20:35:36.489,1145447,-0.844,-0.500,0.125
2025-11-02 20:35:36.729,1145695,-0.531,-0.531,-0.094
2025-11-02 20:35:36.961,1145935,-0.594,-0.687,0.031
2025-11-02 20:35:37.188,1146162,-0.719,-0.562,-0.219
2025-11-02 20:35:37.418,1146391,-0.656,-0.594,0.000
2025-11-02 20:35:37.647,1146621,-0.750,-0.156,-0.562
2025-11-02 20:35:37.887,1146849,-0.750,-0.187,-0.500
2025-11-02 20:35:38.119,1147089,-0.781,-0.125,-0.562
2025-11-02 20:35:38.346,1147318,-0.719,-0.437,-0.375
2025-11-02 20:35:38.581,1147548,-0.844,-0.469,-0.219
2025-11-02 20:35:38.820,1147783,-0.750,-0.906,0.000
2025-11-02 20:35:39.046,1148022,0.000,-0.812,0.156
2025-11-02 20:35:39.283,1148249,0.437,-0.687,0.344
2025-11-02 20:35:39.520,1148486,0.312,-0.594,0.219
2025-11-02 20:35:39.752,1148723,-0.125,-0.906,0.219
2025-11-02 20:35:39.988,1148950,-0.500,-0.937,0.062
2025-11-02 20:35:40.233,1149191,-0.750,-0.469,-0.062
2025-11-02 20:35:40.459,1149432,-0.969,-0.500,0.031
2025-11-02 20:35:40.692,1149661,-0.875,-0.344,-0.187
2025-11-02 20:35:40.935,1149894,-0.844,-0.344,-0.250
2025-11-02 20:35:41.160,1150135,-0.844,-0.250,-0.406
2025-11-02 20:35:41.388,1150363,-0.875,-0.469,0.031
2025-11-02 20:35:41.632,1150591,-0.906,-0.375,-0.094
2025-11-02 20:35:41.878,1150840,-0.781,-0.406,0.000
2025-11-02 20:35:42.108,1151078,-0.719,-0.531,0.094
2025-11-02 20:35:42.336,1151309,-0.906,-0.406,0.000
2025-11-02 20:35:42.578,1151547,-0.906,-0.344,-0.187
2025-11-02 20:35:42.809,1151778,-0.781,-0.344,-0.219
2025-11-02 20:35:43.045,1152017,-0.906,-0.344,-0.312
2025-11-02 20:35:43.281,1152246,-0.750,-0.750,0.000
2025-11-02 20:35:43.514,1152487,-0.312,-0.625,-0.187
2025-11-02 20:35:43.744,1152715,-0.062,-0.875,-0.031
2025-11-02 20:35:43.982,1152953,0.062,-0.875,-0.156
2025-11-02 20:35:44.219,1153186,0.062,-0.625,-0.156
2025-11-02 20:35:44.454,1153421,-0.312,-0.969,-0.125
2025-11-02 20:35:44.681,1153655,-0.625,-1.000,-0.062
2025-11-02 20:35:44.915,1153883,-0.750,-0.531,-0.250
2025-11-02 20:35:45.146,1154117,-0.844,-0.406,-0.250
2025-11-02 20:35:45.388,1154346,-0.906,-0.344,-0.187
2025-11-02 20:35:45.649,1154591,-0.875,-0.344,-0.156
2025-11-02 20:35:45.888,1154855,-0.969,-0.312,-0.281
2025-11-02 20:35:46.134,1155089,-0.781,-0.656,-0.406
2025-11-02 20:35:46.380,1155344,-0.250,-0.531,-0.406
2025-11-02 20:35:46.614,1155581,0.062,-1.000,-0.156
2025-11-02 20:35:46.854,1155821,0.156,-0.781,-0.187
2025-11-02 20:35:47.081,1156055,0.062,-0.750,-0.031
2025-11-02 20:35:47.314,1156282,-0.156,-0.656,-0.219
2025-11-02 20:35:47.544,1156517,-0.531,-0.812,-0.062
2025-11-02 20:35:47.769,1156745,-0.719,-0.594,-0.062
2025-11-02 20:35:47.999,1156973,-0.812,-0.562,-0.062
2025-11-02 20:35:48.229,1157201,-0.875,-0.375,-0.094
2025-11-02 20:35:48.464,1157432,-0.875,-0.375,-0.094
2025-11-02 20:35:48.697,1157670,-0.906,-0.406,-0.094
2025-11-02 20:35:48.928,1157899,-0.844,-0.594,0.000
2025-11-02 20:35:49.215,1158138,-0.562,-0.937,0.312
2025-11-02 20:35:49.447,1158415,0.094,-0.594,0.375
2025-11-02 20:35:49.676,1158648,0.250,-0.594,0.312
2025-11-02 20:35:49.912,1158877,-0.031,-0.687,0.437
2025-11-02 20:35:50.144,1159112,-0.531,-0.937,0.312
2025-11-02 20:35:50.376,1159350,-0.750,-0.656,0.125
2025-11-02 20:35:50.606,1159579,-0.812,-0.500,0.031
2025-11-02 20:35:50.834,1159807,-0.844,-0.437,-0.062
2025-11-02 20:35:51.078,1160047,-0.875,-0.375,-0.125
2025-11-02 20:35:51.304,1160278,-0.906,-0.625,0.062
2025-11-02 20:35:51.532,1160507,-0.750,-0.594,0.312
2025-11-02 20:35:51.761,1160735,-0.344,-0.594,0.656
2025-11-02 20:35:51.999,1160963,0.000,-0.625,0.812
2025-11-02 20:35:52.246,1161205,0.281,-0.375,0.625
2025-11-02 20:35:52.490,1161452,0.187,-0.437,0.625
2025-11-02 20:35:52.734,1161702,-0.094,-0.531,0.687
2025-11-02 20:35:52.963,1161933,-0.531,-0.656,0.594
2025-11-02 20:35:53.193,1162163,-0.719,-0.531,0.406
2025-11-02 20:35:53.419,1162393,-0.781,-0.500,0.187
2025-11-02 20:35:53.667,1162622,-0.844,-0.437,0.156
2025-11-02 20:35:53.906,1162873,-0.844,-0.437,0.125
2025-11-02 20:35:54.137,1163108,-0.906,-0.562,0.250
2025-11-02 20:35:54.376,1163346,-0.719,-0.656,0.500
2025-11-02 20:35:54.613,1163584,-0.156,-0.500,0.500
2025-11-02 20:35:54.846,1163813,0.187,-0.437,0.469
2025-11-02 20:35:55.077,1164048,0.312,-0.500,0.562
2025-11-02 20:35:55.300,1164276,0.000,-0.531,0.469
2025-11-02 20:35:55.542,1164513,-0.250,-0.656,0.437
2025-11-02 20:35:55.769,1164744,-0.812,-0.656,0.094
2025-11-02 20:35:56.000,1164973,-0.875,-0.500,-0.094
2025-11-02 20:35:56.228,1165202,-0.844,-0.344,-0.219
2025-11-02 20:35:56.466,1165431,-0.750,-0.281,-0.062
2025-11-02 20:35:56.695,1165669,-0.781,-0.281,-0.156
2025-11-02 20:35:56.939,1165897,-0.937,-0.281,-0.094
2025-11-02 20:35:57.173,1166147,-1.031,-0.156,-0.187
2025-11-02 20:35:57.410,1166375,-0.906,-0.156,-0.031
2025-11-02 20:35:57.635,1166609,-0.656,0.625,-0.250
2025-11-02 20:35:57.867,1166838,-1.094,-0.219,0.000
2025-11-02 20:35:58.106,1167078,-0.875,-0.156,0.000
2025-11-02 20:35:58.342,1167306,-0.750,-0.219,-0.031
2025-11-02 20:35:58.575,1167544,-0.750,-0.344,-0.031
2025-11-02 20:35:58.879,1167782,-0.750,-0.406,-0.250
2025-11-02 20:35:59.190,1168157,-0.812,-0.562,-0.187
2025-11-02 20:35:59.427,1168396,-0.719,-0.625,-0.062
2025-11-02 20:35:59.666,1168635,-0.781,-0.562,-0.062
2025-11-02 20:35:59.918,1168874,-0.719,-0.594,-0.031
2025-11-02 20:36:00.168,1169123,-0.812,-0.594,-0.187
2025-11-02 20:36:00.410,1169373,-0.750,-0.469,-0.187
2025-11-02 20:36:00.642,1169612,-0.812,-0.469,-0.156
2025-11-02 20:36:00.877,1169850,-0.781,-0.500,-0.156
2025-11-02 20:36:01.106,1170080,-0.812,-0.500,-0.125
2025-11-02 20:36:01.334,1170308,-0.812,-0.469,-0.156
2025-11-02 20:36:01.563,1170536,-0.781,-0.437,-0.156
2025-11-02 20:36:01.797,1170764,-0.781,-0.469,-0.156
2025-11-02 20:36:02.031,1171002,-0.812,-0.469,-0.156
2025-11-02 20:36:02.266,1171239,-0.812,-0.469,-0.156
2025-11-02 20:36:02.493,1171468,-0.781,-0.469,-0.125
2025-11-02 20:36:02.721,1171696,-0.812,-0.469,-0.156
2025-11-02 20:36:02.952,1171924,-0.812,-0.437,-0.156
2025-11-02 20:36:03.180,1172155,-0.812,-0.469,-0.156
2025-11-02 20:36:03.412,1172383,-0.812,-0.437,-0.156
2025-11-02 20:36:03.648,1172621,-0.812,-0.437,-0.156
2025-11-02 20:36:03.882,1172851,-0.812,-0.437,-0.156
2025-11-02 20:36:04.113,1173089,-0.812,-0.437,-0.156
2025-11-02 20:36:04.342,1173316,-0.812,-0.469,-0.125
2025-11-02 20:36:04.570,1173544,-0.812,-0.437,-0.156
2025-11-02 20:36:04.800,1173772,-0.812,-0.437,-0.156
2025-11-02 20:36:05.040,1174011,-0.812,-0.500,-0.156
2025-11-02 20:36:05.275,1174243,-0.812,-0.750,-0.094
2025-11-02 20:36:05.506,1174475,-0.344,-1.219,0.031
2025-11-02 20:36:05.746,1174713,0.437,-0.375,-0.125
2025-11-02 20:36:05.983,1174953,0.906,-0.062,-0.125
2025-11-02 20:36:06.211,1175184,0.906,0.094,-0.281
2025-11-02 20:36:06.440,1175414,1.000,0.187,-0.375
2025-11-02 20:36:06.671,1175643,1.000,0.094,-0.094
2025-11-02 20:36:06.895,1175870,0.969,0.125,-0.219
2025-11-02 20:36:07.127,1176097,1.000,0.094,-0.156
2025-11-02 20:36:07.355,1176330,0.969,0.125,-0.250
2025-11-02 20:36:07.587,1176558,0.531,0.094,-0.031
2025-11-02 20:36:07.815,1176785,0.187,-0.594,-0.406
2025-11-02 20:36:08.064,1177017,-0.594,-0.875,-0.750
2025-11-02 20:36:08.291,1177265,-0.469,-0.687,-0.500
2025-11-02 20:36:08.518,1177494,-0.531,-0.625,-0.344
2025-11-02 20:36:08.747,1177722,-0.500,-0.781,-0.281
2025-11-02 20:36:08.980,1177950,-0.562,-0.656,-0.375
2025-11-02 20:36:09.214,1178183,-0.500,-0.750,-0.281
2025-11-02 20:36:09.447,1178420,-0.531,-0.719,-0.344
2025-11-02 20:36:09.678,1178648,-0.531,-0.719,-0.281
2025-11-02 20:36:09.938,1178888,-0.531,-0.656,-0.281
2025-11-02 20:36:10.173,1179149,-0.531,-0.719,-0.312
2025-11-02 20:36:10.409,1179377,-0.531,-0.719,-0.281
2025-11-02 20:36:10.644,1179616,-0.531,-0.687,-0.281
2025-11-02 20:36:10.885,1179854,-0.562,-0.687,-0.281
2025-11-02 20:36:11.133,1180094,-0.562,-0.687,-0.281
2025-11-02 20:36:11.372,1180339,-0.562,-0.687,-0.281
2025-11-02 20:36:11.610,1180578,-0.562,-0.687,-0.281
2025-11-02 20:36:11.841,1180813,-0.562,-0.687,-0.281
2025-11-02 20:36:12.075,1181043,-0.562,-0.687,-0.250
2025-11-02 20:36:12.323,1181283,-0.594,-0.687,-0.250
2025-11-02 20:36:12.566,1181522,-0.594,-0.687,-0.250
2025-11-02 20:36:12.791,1181765,-0.562,-0.687,-0.281
2025-11-02 20:36:13.042,1181993,-0.562,-0.687,-0.281
2025-11-02 20:36:13.278,1182247,-0.594,-0.687,-0.250
2025-11-02 20:36:13.503,1182476,-0.594,-0.656,-0.250
2025-11-02 20:36:13.736,1182705,-0.594,-0.687,-0.250
2025-11-02 20:36:13.971,1182946,-0.594,-0.719,-0.250
2025-11-02 20:36:14.199,1183174,-0.594,-0.687,-0.250
2025-11-02 20:36:14.426,1183402,-0.594,-0.687,-0.250
2025-11-02 20:36:14.660,1183630,-0.594,-0.687,-0.250
2025-11-02 20:36:14.890,1183862,-0.562,-0.687,-0.250
2025-11-02 20:36:15.129,1184101,-0.594,-0.687,-0.281
2025-11-02 20:36:15.355,1184330,-0.562,-0.687,-0.250
2025-11-02 20:36:15.582,1184558,-0.594,-0.687,-0.250
2025-11-02 20:36:15.814,1184786,-0.594,-0.687,-0.250
2025-11-02 20:36:16.052,1185014,-0.594,-0.687,-0.250
2025-11-02 20:36:16.352,1185325,-0.594,-0.687,-0.250
